date,max_temp,min_temp,avg_temp
2026-06-24,27.7,24.9,26.299999999999997
2026-06-25,29.7,25.9,27.799999999999997
2026-06-26,30.3,26.5,28.4
2026-06-27,31.1,26.9,29.0
2026-06-28,30.6,25.7,28.15
2026-06-29,28.4,25.7,27.049999999999997
2026-06-30,28.6,25.1,26.85
2026-07-01,27.0,25.4,26.2
